source_sheet,excel_row,template_order,section,section_source_row,subgroup,source_number,item_name,unit,quantity_default,quantity_formula,quantity_source_suggestion,sale_unit_price,cost_unit_price,cost_status,amount_formula,remarks,material_demand_category,can_trigger_material_demand,data_quality_notes
半包报价模板,123,110,八、厨卫工程,120,,2,下沉式卫生间地面填充,M2,0,,主案设计师手工填写,228,150,已提供,,陶粒填充,,否,
半包报价模板,124,111,八、厨卫工程,120,,3,填充后细石砼地面找平,M2,0,F123,引用其他项目/参数,58,30,已提供,,水泥砂浆找平，厚度≤5cm，放6mm钢筋，间距15cm*15cm,,否,
半包报价模板,125,112,八、厨卫工程,120,,防水,地面水性防水涂料（地暖地面要算2遍）,M2,,,主案设计师手工填写,65,35,已提供,,"1、地面清理，四周防水带，内外角防水贴，淋浴水管根套             
2、一般墙面上返300mm
3、做24小时蓄水试验（甲方验收签字）；                   
4、不包含原地面装饰层拆除；
5、按实际涂刷面积计算工程量。",,否,
半包报价模板,126,113,八、厨卫工程,120,,,墙面水性防水涂料,M2,,,主案设计师手工填写,65,35,已提供,,"1、墙面清理，四周防水带，内外角防水贴，淋浴水管根套                 
2、卫生间墙面涂刷2000mm；                     
3、做24小时蓄水试验（甲方验收签字）；                   
4、不包含原地面装饰层拆除；
5、按实际涂刷面积计算工程量。",,否,
半包报价模板,127,114,八、厨卫工程,120,,找平,粗找平,M2,,,主案设计师手工填写,58,40,已提供,,水泥黄沙瓜子片地暖找平，厚度≤50mm,,否,
半包报价模板,128,115,八、厨卫工程,120,,,瓜子片豆石精找平,M2,0,,主案设计师手工填写,78,50,已提供,,水泥黄沙瓜子片豆石精找平（地砖博贴专用，误差3mm）（厚度3到5cm）,,否,
半包报价模板,129,116,八、厨卫工程,120,,,半干成品砂浆找平,M2,0,,主案设计师手工填写,98,65,已提供,,半干砂浆找平（地板找平专用，误差3mm以内）（厚度3到5cm）,,否,
半包报价模板,130,117,八、厨卫工程,120,,泥工贴砖,800*800mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,150,90,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,131,118,八、厨卫工程,120,,,600*1200mm地砖（水泥砂浆粘贴）,M2,0,SUM(E126),引用其他项目/参数,160,100,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,132,119,八、厨卫工程,120,,,750*1500mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,170,105,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,133,120,八、厨卫工程,120,,,900*1800mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,200,120,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,134,121,八、厨卫工程,120,,,200*700mm小砖（胶泥粘帖）,M2,0,,主案设计师手工填写,200,140,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,135,122,八、厨卫工程,120,,,800*800mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,160,100,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,136,123,八、厨卫工程,120,,,600*1200mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,170,105,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,137,124,八、厨卫工程,120,,,750*1500mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,180,110,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,138,125,八、厨卫工程,120,,,900*1800mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,220,130,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,139,126,八、厨卫工程,120,,,（薄贴）瓷砖增加人工费,M2,,,主案设计师手工填写,20,10,已提供,,水泥黄沙瓜子片地暖找平，厚度≤50mm,瓷砖/石材铺贴,是,
半包报价模板,140,127,八、厨卫工程,120,,,下沉式淋浴房工艺,M,0.9,,主案设计师手工填写,100,70,已提供,,水泥黄沙铺贴（不足1米按1米算）,淋浴房,是,
半包报价模板,141,128,八、厨卫工程,120,,,壁龛工艺增加,项,1,,主案设计师手工填写,499,300,已提供,,人工费,,否,
半包报价模板,142,129,八、厨卫工程,120,,,防水石膏板吊平顶,M2,5.8,E120,空间面积,198,110,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,143,130,八、厨卫工程,120,,,顶面基层处理(防水腻子）,M2,5.8,F142,引用其他项目/参数,57,40,已提供,,"1、刷界面剂一遍，批刮腻子三遍，打磨平整；                                   2、顶面水泥砂浆处理、沙灰墙铲除、原顶面涂层铲除及贴布等费用另计；             
3、原顶面平整度误差超过1.5cm、垂直误差超过1.5cm需找平，费用另计。",,否,
半包报价模板,144,131,八、厨卫工程,120,,,顶面防水乳胶漆,简,1,,主案设计师手工填写,700,380,已提供,,防水乳胶漆,,否,
半包报价模板,145,132,八、厨卫工程,120,,,包管道（1根）,项,0,,主案设计师手工填写,280,200,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,146,133,八、厨卫工程,120,,,包管道（2根）,项,1,,主案设计师手工填写,380,300,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,147,134,八、厨卫工程,120,,,包管道（3根）,项,0,,主案设计师手工填写,480,400,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,151,135,十、油漆工程,150,,1,3D放样,M2,130,G2,建筑面积,12,12,已提供,SUM(F151*G151),人工费及辅料费,,否,
半包报价模板,152,136,十、油漆工程,150,,2,PVC常规型阴阳角线,M2,130,G2,建筑面积,8,4,已提供,F152*G152,"1、专业阴阳角线条处理。
2、按内墙面积计算",,否,
半包报价模板,153,137,十、油漆工程,150,,3,吊顶石膏板接缝、干壁钉防锈处理,M2,130,SUM(G2),建筑面积,5,2,已提供,,"1、接缝纸接石膏板接缝、干壁钉防锈漆处理。
2、按外框面积计算",,否,
半包报价模板,156,138,十一、水电工程,155,,1,开管线槽,M2,130,SUM(G2),建筑面积,15.5,10,已提供,,1 切割片 垃圾袋。,,否,
半包报价模板,157,139,十一、水电工程,155,,2,打孔穿线,M2,130,SUM(G2),建筑面积,15.5,10,已提供,,1 人工费 垃圾袋。,,否,
半包报价模板,158,140,十一、水电工程,155,,3,给水工程（PPR）,M2,130,G2,建筑面积,70,45,已提供,,"1、【保利橙色管25直径，壁厚4.2】ppr水管热熔连接；
2、开槽、定位； 
3、冷热水管EVA保温防潮工艺（顶面走向）",,否,
半包报价模板,159,141,十一、水电工程,155,,4,排水工程（PVC）,M2,130,G2,建筑面积,33.5,20,已提供,,保利PVC排水管、定位.,,否,
半包报价模板,160,142,十一、水电工程,155,,5,强电工程（1.5；2.5BV线；4.0Bvr线）,M2,130,G2,建筑面积,84.8,70,已提供,,【正泰】阻燃电线、86底盒、定位.,,否,
半包报价模板,161,143,十一、水电工程,155,,6,弱电工程（6类网线，电视线）,M2,130,G2,建筑面积,10.7,5,已提供,,【正泰】超六类网线、86底盒、定位.,,否,
半包报价模板,162,144,十一、水电工程,155,,7,风管机/中央空调外机强电穿线,项,1,,主案设计师手工填写,480,300,已提供,SUM(F162*G162),"1、国标单芯铜线 
2、PVC阻燃双色线管开槽铺设安装（4-6平方布线）",,否,
半包报价模板,163,145,十一、水电工程,155,,8,智能布线,M2,0,,主案设计师手工填写,10,5,已提供,F163*G163,,,否,缺施工说明
半包报价模板,164,146,十一、水电工程,155,,9,正泰空开更换,M2,130,G2,建筑面积,8,600,已提供,,正泰（含总开、漏电保护器、空开，单个电箱配置）按外框面积计算,,否,
半包报价模板,165,147,十一、水电工程,155,,10,施耐德空开更换,M2,,,主案设计师手工填写,22,15,已提供,,施耐德m9系列（含总开、漏电保护器、空开，单个电箱配置）按外框面积计算,,否,
半包报价模板,166,148,十一、水电工程,155,,11,小热水循环水布管,M2,0,,主案设计师手工填写,25,15,已提供,,按建筑面积外框计算,,否,
半包报价模板,167,149,十一、水电工程,155,,12,大热水循环水布管,M2,0,,主案设计师手工填写,35,20,已提供,,按建筑面积外框计算,,否,
半包报价模板,168,150,十一、水电工程,155,,13,强电箱移位,只,1,,主案设计师手工填写,785,300,已提供,F168*G168,"含PVC管、开槽，敷设人工,含箱子",,否,
半包报价模板,169,151,十一、水电工程,155,,14,弱电箱移位,只,0,,主案设计师手工填写,585,300,已提供,F169*G169,"含PVC管、开槽，敷设人工,含箱子",,否,
半包报价模板,170,152,十一、水电工程,155,,15,暗藏花洒预埋,套,0,,主案设计师手工填写,300,200,已提供,SUM(F170*G170),人工费，不含主材、辅材,卫浴/洁具,是,
半包报价模板,171,153,十一、水电工程,155,,16,暗藏龙头预埋,套,0,,主案设计师手工填写,300,200,已提供,,人工费，不含主材、辅材,,否,
半包报价模板,172,154,十一、水电工程,155,,17,下水管隔音处理（卫生间、阳台）,间,4,,主案设计师手工填写,220,150,已提供,,1、包管部分下水管采用黄金阻尼片，隔音棉材料保护、专用扎带固定,,否,
半包报价模板,175,155,十二、其他工程,174,,1,装修建筑垃圾外运,车,,,主案设计师手工填写,500,400,已提供,F175*G175,遇物业不负责垃圾外运时，装修所产生的建筑垃圾外运费用。,,否,
半包报价模板,176,156,十二、其他工程,174,,2,装潢垃圾清理费,M2,130,G2,建筑面积,15,10,已提供,,施工现场的垃圾物业指定堆放处（不含其它材料商产生的垃圾）,,否,
半包报价模板,177,157,十二、其他工程,174,,3,室内家政服务费,M2,130,G2,建筑面积,15,8,已提供,,完工时对工地进行室内家政服务。,,否,
